item	JS	KK
1	53	103
2	136	80
3	90	132
4	103	167
5	36	144
6	93	172
7	195	108
8	51	89
9	192	103
10	148	63
11	79	65
12	30	58
13	48	141
14	80	116
15	242	152
16	77	122
17	170	129
18	137	83
19	41	175
20	146	116
21	116	173
22	186	67
23	101	61
24	173	114
25	110	195
26	50	166
27	149	85
28	139	42
29	30	87
30	119	183
31	86	217
32	97	125
33	25	109
34	63	71
35	173	93
36	130	71
37	60	77
38	148	209
39	129	134
40	69	59
41	167	99
42	83	147
43	121	75
44	28	50
45	133	181
46	173	102
47	149	173
48	105	160
49	64	147
50	134	97
51	137	90
52	21	57
53	179	151
54	116	100
55	35	102
56	119	181
57	60	118
58	140	163
59	150	141
60	68	146
61	145	149
62	197	149
63	80	250
64	73	128
65	128	155
66	3	148
67	180	123
68	96	189
69	111	80
70	95	186
71	122	80
72	132	114
73	64	102
74	181	31
75	165	66
76	129	34
77	79	59
78	63	213
79	72	104
80	187	251
81	99	31
82	143	75
83	49	164
84	131	214
85	84	53
86	100	79
87	215	118
88	112	75
89	76	169
90	64	192
91	50	92
92	144	139
93	46	122
94	110	123
95	163	123
96	183	61
97	107	135
98	129	90
99	162	125
100	173	118
